Well Number,Month of Production,Days,BBLS Oil,BBLS Water,MCF Prod
23102,2-2018,28,3090,1660,2609
23102,1-2018,31,3415,2262,3203
23102,12-2017,31,3241,2230,2821
23169,4-2018,30,1585,776,1430
23169,3-2018,31,1669,922,1505
23169,2-2018,28,1643,848,1483
23169,1-2018,31,1769,766,1595
23169,12-2017,31,1704,749,1536
23169,11-2017,30,1797,818,1621
23331,5-2018,31,2051,1340,1829
23331,4-2018,30,2318,853,1598
23331,3-2018,31,2734,1054,1448
23331,2-2018,28,2549,1223,1392
23331,1-2018,19,1611,764,2660
23331,12-2017,29,2617,1331,3027
23332,5-2018,31,3289,1059,2547
23332,4-2018,18,1497,694,1484
23332,3-2018,31,2577,1383,2069
23332,2-2018,25,2345,1456,2004
23332,1-2018,28,2070,1555,1728
23332,12-2017,29,2170,2007,1728
23333,5-2018,31,2244,1797,2501
23333,4-2018,30,1172,1655,530
23333,3-2018,31,1008,1548,155
23333,2-2018,23,895,379,57
23333,1-2018,31,1158,506,1250
23333,12-2017,29,1170,647,810
23334,5-2018,31,756,1049,918
23334,4-2018,23,1358,746,3321
23334,3-2018,31,2020,1175,3850
23334,2-2018,28,1957,1123,4277
23334,1-2018,31,1979,940,2364
23334,12-2017,29,1655,1507,3042
23335,5-2018,31,1643,1898,3468
23335,4-2018,30,1615,979,3871
23335,3-2018,31,1530,1257,3735
23335,2-2018,28,1674,916,2859
23335,1-2018,31,1835,898,2976
23335,12-2017,29,1659,943,2480
23336,5-2018,31,1617,983,1015
23336,4-2018,30,1391,507,828
23336,3-2018,31,1496,576,711
23336,2-2018,28,1606,818,712
23336,1-2018,31,1388,891,273
23336,12-2017,28,1054,1095,637
23337,5-2018,31,852,1514,652
23337,4-2018,30,1141,1607,607
23337,3-2018,31,1241,1962,473
23337,2-2018,28,1139,2093,271
23337,1-2018,31,1207,2893,259
23337,12-2017,29,1532,2532,991
23338,5-2018,31,1081,2548,4152
23338,4-2018,30,1339,3005,805
23338,3-2018,31,1514,2959,1135
23338,2-2018,28,1470,1483,2968
23338,1-2018,30,1997,1849,3013
23338,12-2017,29,1747,1877,2505
23339,5-2018,31,1110,922,495
23339,4-2018,30,813,569,886
23339,3-2018,31,849,610,795
23339,2-2018,28,604,562,357
23339,1-2018,31,1361,821,724
23339,12-2017,29,1083,712,619
23340,5-2018,31,1733,83,21
23340,4-2018,23,1021,506,866
23340,3-2018,31,1380,905,1126
